# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0001/ ",0078
"20260020-0ACRILICO UNIGLASS BRANCO 3mm c/ 1,00mt X 2,00mt NEW-. ",,"11,00 ","UN ","244,78 ","2.023,11 ","2.692,54","24,86%"
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-. ",,"34,00 ","UN ","151,06 ","4.000,77 ","5.136,05","22,10%"
"20260017-0ACRILICO UNIGLASS CRISTAL 3mm c/ 1,00mt X 2,00mt NEW-. ",,"17,00 ","UN ","216,29 ","2.896,39 ","3.676,92","21,23%"
"20260018-0ACRILICO UNIGLASS CRISTAL 4mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","261,67 ","230,27 ","261,67","12,00%"
"20260032-0ACRILICO UNIGLASS PRETO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","148,36 ","130,55 ","148,36","12,00%"
"20260097-0ACRILICO UNIGLASS PRETO 3mm c/ 1,00mt X 2,00mt NEW-. ",,"5,00 ","UN ","204,16 ","898,29 ","1.020,79","12,00%"
"20260065-0ACRILICO UNIGLASS VERDE 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","195,00 ","116,16 ","195,00","40,43%"
"20260115-0ACRILICO UNIGLASS VERMELHO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","146,18 ","128,64 ","146,18","12,00%"
,"Total : ",,,,,,
,,"71,00 ",,"187,01","10.424,17 ","13.277,51","21,49%"
,2026.2033 ACRILICO | BOLD,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260119-0ACRILICO BOLD CAST LARANJA 2MM 1,00 X 2,00MT REF.LA460-. ",,"1,00 ","UN ","203,00 ","188,25 ","203,00","7,27%"
"20260059-0ACRILICO BOLD ESPELHADO DOURADO 2MM 1,00 X 2,00MT-. ",,"1,00 ","UN ","263,00 ","195,57 ","263,00","25,64%"
"20260061-0ACRILICO BOLD ESPELHADO PRATA 2MM 1,00 X 2,00MT-. ",,"1,00 ","UN ","192,62 ","178,30 ","192,62","7,43%"
,"Total : ",,,,,,
,,"3,00 ",,"219,54","562,12 ","658,62","14,65%"
,2028.2023 CHAPA POLICARBONATO | CHAPAS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017552-0CHAPA POLICARBONATO MDP 1050x6000x4MM AZUL-. ",,"1,00 ","UN ","235,00 ","140,65 ","235,00","40,15%"
"2017541-0CHAPA POLICARBONATO MDP 2100x6000x4MM CRISTAL-. ",,"2,00 ","UN ","319,66 ","562,59 ","639,31","12,00%"
"2017553-0CHAPA POLICARBONATO MDP 2100x6000x6MM CRISTAL-. ",,"1,00 ","UN ","635,00 ","411,03 ","635,00","35,27%"
"2017555-0CHAPA POLICARBONATO MDP 2100x6000x6MM FUME-. ",,"2,00 ","UN ","467,08 ","822,06 ","934,16","12,00%"
,"Total : ",,,,,,
,,"6,00 ",,"407,24","1.936,34 ","2.443,47","20,75%"
,2030.2003 ACESSÓRIOS SIGN | SOLVENTE,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015036-0PRIMER MAXIMUS UNIBOND P/ ACM LATA 900ML-. ",,"12,00 ","UN ","88,87 ","840,60 ","1.066,40","21,17%"
"2018015-0VERNIZ I9 NOVE COAT BRILHANTE 1LT (CX C/ 12)-. ",,"2,00 ","UN ","105,00 ","122,65 ","210,00","41,60%"
,"Total : ",,,,,,
,,"14,00 ",,"91,17","963,25 ","1.276,40","24,53%"
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0046/ ",0078
PB,JOAO PESSOA,,,,,,
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015046-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 15 X 20 MM-. ",,"24,00 ","UN ","52,17 ","920,00 ","1.251,97","26,52%"
"2015045-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 19 X 20 MM-. ",,"41,00 ","UN ","57,74 ","1.964,85 ","2.367,30","17,00%"
"2015047-0FITA FUSION DUPLA FACE TRANSPARENTE 19 X 20 MM-. ",,"6,00 ","UN ","27,96 ","109,36 ","167,76","34,81%"
"2015040-0FITA NORBOND AD 2163F-3BI 15mmX20m-. ",,"35,00 ","UN ","67,61 ","1.791,21 ","2.366,19","24,30%"
"2015041-0FITA NORBOND AD 2163F-3BI 19mmX20m-. ",,"107,00 ","UN ","93,02 ","6.985,12 ","9.953,37","29,82%"
"2015042-0FITA NORBOND AD A7209-O1 12mmX20m-. ",,"2,00 ","UN ","31,11 ","44,38 ","62,22","28,67%"
"2015043-0FITA NORBOND AD FA2000-3BI 19mmX20m-. ",,"22,00 ","UN ","131,51 ","2.075,75 ","2.893,26","28,26%"
,"Total : ",,,,,,
,,"237,00 ",,"80,43","13.890,68 ","19.062,07","27,13%"
,2030.2007 ACESSÓRIOS SIGN | BASTÃO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2016009-0BASTAO DE PINUS 5/8 16MM X 1,50CM C/ 50UN-. ",,"3,00 ","PCT ","87,64 ","174,79 ","262,92","33,52%"
,"Total : ",,,,,,
,,"3,00 ",,"87,64","174,79 ","262,92","33,52%"
,2030.2010 ACESSÓRIOS SIGN | PONTEIRAS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017001-0PONTEIRAS DE 5/8 BRANCA PCT 100-. ",,"3,00 ","PCT ","9,02 ","19,86 ","27,05","26,58%"
,"Total : ",,,,,,
,,"3,00 ",,"9,02","19,86 ","27,05","26,57%"
,2030.2057 ACESSÓRIOS SIGN | SELANTE/SILICONE NEOKLON,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"13792-0 ","SELANTE NEOKLON PU. FLEX 40 CINZA 400G-. ","4,00 ","UN ","16,47 ","57,98 ","65,88","11,99%"
"13800-0 ","SILICONE NEOKLON NEUTRO P/ ACM 260G AMARELO-. ","2,00 ","UN ","29,75 ","38,79 ","59,50","34,81%"
"13799-0 ","SILICONE NEOKLON NEUTRO P/ ACM 260G CINZA-. ","2,00 ","UN ","23,55 ","41,44 ","47,09","12,00%"
"13797-0 ","SILICONE NEOKLON NEUTRO P/ ACM 260G PRETO-. ","4,00 ","UN ","23,18 ","81,59 ","92,71","11,99%"
"13802-0 ","SILICONE NEOKLON NEUTRO P/ ACM 260G VERDE-. ","1,00 ","UN ","21,94 ","19,31 ","21,94","11,99%"
,"Total : ",,,,,,
,,"13,00 ",,"22,09","239,10 ","287,12","16,72%"
"55.207 ",ACESSÓRIOS DE INFORMATICA | TECLADO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"50107-0 ","TECLADO CHINAMATE OFFICE CM20 COM FIO PRETO-. ","8,00 ","UN ","24,66 ","127,12 ","197,30","35,57%"
,"Total : ",,,,,,
,,"8,00 ",,"24,66","127,12 ","197,30","35,57%"
"55.216 ",ACESSÓRIOS DE INFORMATICA | MOUSE GAMER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"50213-0 ","MOUSE GAMER EVOLUT EG-104RB 2400 DPI/06 BOTOES RAYDEN(CX C/ 60)-. ","21,00 ","UN ","18,14 ","299,80 ","381,00","21,31%"
,"Total : ",,,,,,
,,"21,00 ",,"18,14","299,80 ","381,00","21,31%"
"55.227 ",ACESSÓRIOS DE INFORMATICA | FONE GAMER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"50223-0 ","FONE DE OUVIDO HEADSET GAMER EVOLUT EG-305BL AZULTHOTH (CX C/ 30)-. ","1,00 ","UN ","53,90 ","42,60 ","53,90","20,96%"
"50222-0 ","FONE DE OUVIDO HEADSET GAMER EVOLUT EG-305RD VERMELHO THOTH(CX C/ 30)-. ","3,00 ","UN ","53,90 ","121,83 ","161,70","24,66%"
,"Total : ",,,,,,
,,"4,00 ",,"53,90","164,43 ","215,60","23,73%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0047/ ",0078
PB,JOAO PESSOA,,,,,,
"55.231 ",ACESSÓRIOS DE INFORMATICA | TECLADO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"50217-0 ","TECLADO GAMER MECANICO COM FIO EVOLUT EG-204RB ASSAULT (CX C/ 20)-. ","4,00 ","UN ","169,00 ","541,40 ","676,00","19,91%"
,"Total : ",,,,,,
,,"4,00 ",,"169,00","541,40 ","676,00","19,91%"
,"TOTAL CIDADE: ","48.793,60 ",,,"394.910,37 ","540.283,24","26,91%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0048/ ",0078
PBJURU,,,,,,,
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"160,00 ","M2 ","8,32 ","798,21 ","1.331,00","40,03%"
,"Total : ",,,,,,
,,"160,00 ",,"8,32","798,21 ","1.331,00","40,03%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011115-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,06mt-. ",,"53,00 ","M2 ","5,38 ","173,70 ","285,00","39,05%"
"2011073-0VINIL UNITRAMA INFLEX UT80GR POLIMERICO BRILHO C/ 1,06mt (IV2000)-. ",,"53,00 ","M2 ","10,94 ","349,92 ","580,00","39,67%"
"2011039-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.06mt-. ",,"53,00 ","M2 ","6,09 ","192,85 ","323,00","40,29%"
,"Total : ",,,,,,
,,"159,00 ",,"7,47","716,47 ","1.188,00","39,69%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013065-0ACM UNIBOND AZUL ESCURO ALTO BRILHO 3mm 1.50 x 5.00mt T808-. ",,"2,00 ","UN ","595,00 ","742,43 ","1.190,00","37,61%"
,"Total : ",,,,,,
,,"2,00 ",,"595,00","742,43 ","1.190,00","37,61%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013128-0ACM SIGNBOND PRETO FOSCO 3mm 1.22 x 5.00mt UNI8866-. ",,"2,00 ","UN ","400,00 ","529,23 ","800,00","33,85%"
,"Total : ",,,,,,
,,"2,00 ",,"400,00","529,23 ","800,00","33,85%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","198,00 ","235,34 ","396,00","40,57%"
"20260017-0ACRILICO UNIGLASS CRISTAL 3mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","285,00 ","170,38 ","285,00","40,22%"
"20260115-0ACRILICO UNIGLASS VERMELHO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","215,00 ","128,64 ","215,00","40,17%"
,"Total : ",,,,,,
,,"4,00 ",,"224,00","534,35 ","896,00","40,36%"
,"TOTAL CIDADE: ","327,00 ",,,"3.320,69 ","5.405,00","38,56%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0049/ ",0078
PB,MAMANGUAPE,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4114-0 ","CART. DE TONER COMP. COM PM 1105A/1107A 1K COM CHIP EVOLUT(CX C/ 15)-. ","5,00 ","PC ","70,00 ","109,32 ","350,00","68,77%"
"3953-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K CHMT(CX C/25)-. ","22,00 ","PC ","34,55 ","408,50 ","760,00","46,25%"
,"Total : ",,,,,,
,,"27,00 ",,"41,11","517,82 ","1.110,00","53,35%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","9,00 ","UN ","10,00 ","24,97 ","90,00","72,26%"
"12151-0 ","TINTA INKBANK EPSON E850/504/544 CYAN 70ML-. ","7,00 ","UN ","10,00 ","19,26 ","70,00","72,49%"
"12152-0 ","TINTA INKBANK EPSON E850/504/544 MAG 70ML-. ","7,00 ","UN ","10,00 ","19,01 ","70,00","72,84%"
"12153-0 ","TINTA INKBANK EPSON E850/504/544 YELL 70ML-. ","7,00 ","UN ","10,00 ","19,03 ","70,00","72,81%"
,"Total : ",,,,,,
,,"30,00 ",,"10,00","82,27 ","300,00","72,58%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"2,00 ","UN ","420,00 ","509,13 ","840,00","39,39%"
"2013135-0ACM SIGNBOND VERDE INTENSO 3mm 1.22 x 5.00mt 8840-. ",,"1,00 ","UN ","435,00 ","265,01 ","435,00","39,08%"
,"Total : ",,,,,,
,,"3,00 ",,"425,00","774,14 ","1.275,00","39,28%"
,2003.2054 ACM | PVDF,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013167-0ACM UNIBOND ARCHIE BRANCO FOSCO PVDF4mm (0.30) 1.50 x 5.00mt (UNI8813)-. ",,"3,00 ","UN ","1.250,00 ","2.060,70 ","3.750,00","45,05%"
"2013192-0ACM UNIBOND ARCHIE VERMELHO FOSCO PVDF 4mm (0.30) 1.50 x 5.00mt (8829)-. ",,"6,00 ","UN ","1.250,00 ","4.317,52 ","7.500,00","42,43%"
,"Total : ",,,,,,
,,"9,00 ",,"1.250,00","6.378,22 ","11.250,00","43,30%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"2,00 ","UN ","165,50 ","211,05 ","331,00","36,24%"
"2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-. ",,"1,00 ","UN ","360,00 ","215,87 ","360,00","40,04%"
,"Total : ",,,,,,
,,"3,00 ",,"230,33","426,92 ","691,00","38,22%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260019-0ACRILICO UNIGLASS BRANCO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","185,00 ","128,82 ","185,00","30,37%"
,"Total : ",,,,,,
,,"1,00 ",,"185,00","128,82 ","185,00","30,37%"
,2030.2003 ACESSÓRIOS SIGN | SOLVENTE,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015036-0PRIMER MAXIMUS UNIBOND P/ ACM LATA 900ML-. ",,"3,00 ","UN ","120,00 ","210,15 ","360,00","41,63%"
,"Total : ",,,,,,
,,"3,00 ",,"120,00","210,15 ","360,00","41,63%"
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0050/ ",0078
PB,MAMANGUAPE,,,,,,
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015041-0FITA NORBOND AD 2163F-3BI 19mmX20m-. ",,"9,00 ","UN ","119,44 ","587,53 ","1.075,00","45,35%"
,"Total : ",,,,,,
,,"9,00 ",,"119,44","587,53 ","1.075,00","45,35%"
,"TOTAL CIDADE: ","85,00 ",,,"9.105,87 ","16.246,00","43,95%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0051/ ",0078
PBMARI,,,,,,,
"10.135 ",CARTUCHO DE TONER | FOTOCONDUTOR,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4064-0 ","KIT FOTOCONDUTOR COMP. COM BROTHER DR-B021 EVOLUT-. ","1,00 ","PC ","100,00 ","39,77 ","100,00","60,23%"
,"Total : ",,,,,,
,,"1,00 ",,"100,00","39,77 ","100,00","60,23%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12174-0 ","TINTA INKBANK EPSON E850/664 BLACK 100ML (CX C/ 100)-. ","5,00 ","UN ","6,00 ","15,69 ","30,00","47,70%"
"12176-0 ","TINTA INKBANK EPSON E850/664 MAG 100ML (CX C/ 100)-. ","5,00 ","UN ","6,00 ","14,73 ","30,00","50,90%"
"12177-0 ","TINTA INKBANK EPSON E850/664 YELL 100ML (CX C/ 100)-. ","5,00 ","UN ","6,00 ","14,84 ","30,00","50,53%"
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","2,00 ","UN ","50,00 ","35,22 ","100,00","64,78%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","1,00 ","UN ","50,00 ","18,00 ","50,00","64,00%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","1,00 ","UN ","50,00 ","17,92 ","50,00","64,16%"
"12186-0 ","TINTA INKBANK UNIVERSAL ET365 YELLOW 1L (CX C/ 20)-. ","1,00 ","UN ","50,00 ","17,97 ","50,00","64,06%"
,"Total : ",,,,,,
,,"20,00 ",,"17,00","134,36 ","340,00","60,48%"
"20.165 ",ACESSÓRIOS JATO DE TINTA | DIVERSOS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"15012-0 ","ALCOOL ISOPROPILICO QUIMAGRAF 1LT-. ","1,00 ","UN ","35,00 ","18,09 ","35,00","48,31%"
,"Total : ",,,,,,
,,"1,00 ",,"35,00","18,09 ","35,00","48,33%"
,"TOTAL CIDADE: ","22,00 ",,,"192,22 ","475,00","59,53%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0052/ ",0078
PB,MARIZOPOLIS,,,,,,
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"320,00 ","M2 ","8,49 ","1.626,21 ","2.716,00","40,12%"
,"Total : ",,,,,,
,,"320,00 ",,"8,49","1.626,21 ","2.716,00","40,12%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011039-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.06mt-. ",,"53,00 ","M2 ","6,87 ","215,67 ","364,00","40,75%"
"2011018-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,06mt-. ",,"53,00 ","M2 ","7,60 ","237,77 ","403,00","41,00%"
"2011019-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,27mt-. ",,"63,50 ","M2 ","7,61 ","277,15 ","483,00","42,62%"
,"Total : ",,,,,,
,,"169,50 ",,"7,37","730,59 ","1.250,00","41,55%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013125-0ACM SIGNBOND BRANCO FOSCO 3mm 1.22 x 5.00mt 8813-. ",,"2,00 ","UN ","400,00 ","510,95 ","800,00","36,13%"
,"Total : ",,,,,,
,,"2,00 ",,"400,00","510,95 ","800,00","36,13%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"1,00 ","UN ","151,00 ","105,53 ","151,00","30,11%"
,"Total : ",,,,,,
,,"1,00 ",,"151,00","105,53 ","151,00","30,12%"
,"TOTAL CIDADE: ","492,50 ",,,"2.973,27 ","4.917,00","39,53%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0053/ ",0078
PB,MONTEIRO,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3953-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K CHMT(CX C/25)-. ","20,00 ","PC ","26,60 ","369,00 ","532,00","30,64%"
"3076-0 ","CART. DE TONER COMP. COM PM CF217A/M130/M102 1,6K CHMT(CX C/25)-. ","10,00 ","PC ","33,00 ","162,48 ","330,00","50,76%"
"3149-0 ","CART. DE TONER COMP. COM PM CF283A M125/M126/M127/M128 1,5K EVOLUT(CX C/ 12)-. ","20,00 ","PC ","25,90 ","332,89 ","518,00","35,74%"
,"Total : ",,,,,,
,,"50,00 ",,"27,60","864,37 ","1.380,00","37,36%"
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","25,00 ","PC ","14,60 ","251,52 ","365,00","31,09%"
,"Total : ",,,,,,
,,"25,00 ",,"14,60","251,52 ","365,00","31,09%"
"10.115 ",CARTUCHO DE TONER | SAMSUNG,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3353-0 ","CART. DE TONER COMP. COM SAMSUNG D116 3K EVOLUT(CX C/ 15)-. ","5,00 ","PC ","40,00 ","104,04 ","200,00","47,98%"
"3933-0 ","CART. DE TONER COMP. COM SAMSUNG ML1665/D104 1,5K CHMT(CX C/15)-. ","10,00 ","PC ","35,00 ","252,05 ","350,00","27,99%"
,"Total : ",,,,,,
,,"15,00 ",,"36,67","356,09 ","550,00","35,26%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12163-0 ","TINTA INKBANK UNIVERSAL ET365/664 BLACK 100ML (CX C/ 100)-. ","10,00 ","UN ","6,00 ","25,85 ","60,00","56,92%"
"12165-0 ","TINTA INKBANK UNIVERSAL ET365/664 MAG 100ML (CX C/ 100)-. ","10,00 ","UN ","6,00 ","25,86 ","60,00","56,90%"
"12166-0 ","TINTA INKBANK UNIVERSAL ET365/664 YELL 100ML (CX C/ 100)-. ","10,00 ","UN ","6,00 ","25,86 ","60,00","56,90%"
,"Total : ",,,,,,
,,"30,00 ",,"6,00","77,57 ","180,00","56,91%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013065-0ACM UNIBOND AZUL ESCURO ALTO BRILHO 3mm 1.50 x 5.00mt T808-. ",,"1,00 ","UN ","600,00 ","371,21 ","600,00","38,13%"
,"Total : ",,,,,,
,,"1,00 ",,"600,00","371,21 ","600,00","38,13%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"5,00 ","UN ","420,00 ","1.324,18 ","2.100,00","36,94%"
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"3,00 ","UN ","400,00 ","758,43 ","1.200,00","36,80%"
"2013120-0ACM SIGNBOND ESP. ACO CORTEN 3mm 1.22 x 5.00mt-. ",,"4,00 ","UN ","645,25 ","1.548,06 ","2.581,00","40,02%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"1,00 ","UN ","419,00 ","265,28 ","419,00","36,69%"
"2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-. ",,"1,00 ","UN ","419,00 ","263,05 ","419,00","37,22%"
,"Total : ",,,,,,
,,"14,00 ",,"479,93","4.159,00 ","6.719,00","38,10%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019100-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 02MM-. ",,"17,00 ","UN ","46,59 ","474,79 ","792,01","40,05%"
"2019101-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 03MM-. ",,"3,00 ","UN ","53,00 ","110,59 ","159,00","30,45%"
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"11,00 ","UN ","170,55 ","1.160,78 ","1.876,00","38,12%"
"2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-. ",,"3,00 ","UN ","360,00 ","647,60 ","1.080,00","40,04%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0054/ ",0078
PB,MONTEIRO,,,,,,
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
